UserId,HobbyId,Label,CategoryId
2,5,0,4
2,4,0,3
2,3,1,1
2,6,0,2
2,1,1,1
2,2,0,2
2,3,1,1
2,5,0,4
2,6,1,2
2,4,0,3
2,1,1,1
2,2,1,2
2,7,0,1
2,3,1,1
2,5,0,4
2,2,1,2
2,7,0,1
2,6,1,2
1,2,1,2
1,5,0,4
1,6,1,2
3,1,1,1
3,4,1,3
3,7,0,1
4,1,0,1
4,5,1,4
4,6,1,2
5,2,0,2
5,4,1,3
5,6,0,2
6,1,1,1
6,5,1,1
6,7,1,1
7,1,0,1
7,2,1,2
7,5,0,1
8,2,1,2
8,4,1,3
8,5,0,4
9,1,1,1
9,4,0,3
9,5,1,4
10,2,1,2
10,5,0,1
10,6,1,2
11,1,1,1
11,5,1,4
11,1,1,1
12,2,0,2
12,5,0,4
12,6,1,2
13,1,0,1
13,2,1,2
13,5,1,4
14,1,1,1
14,2,1,2
14,5,0,1
15,1,0,1
15,4,1,3
15,5,1,1
16,2,1,2
16,5,1,4
16,7,0,1
17,2,0,2
17,4,1,3
17,6,1,2
18,1,1,1
18,2,0,2
18,4,1,3
19,1,0,1
19,4,1,3
19,5,0,4
20,2,1,2
20,4,1,3
20,1,1,1
5,3,0,1
5,7,1,1
6,2,1,2
6,3,0,1
6,4,1,3
7,3,1,1
7,4,0,3
8,1,1,1
8,3,1,1
9,2,0,2
9,3,1,1
10,1,0,1
10,3,1,1
11,2,1,2
11,3,1,1
12,1,0,1
12,3,1,1
13,3,0,1
13,4,1,3
14,3,1,1
14,6,1,2
15,2,0,2
15,3,1,1
16,1,0,1
16,3,1,1
17,3,0,1
17,5,1,4
18,3,1,1
18,6,0,2
19,2,0,2
19,3,1,1
20,3,0,1
20,5,1,4
